"2020-08-11 09:59:49,124 INFO  [restartedMain] br.com.hdi.reinsurance.accounting.ReinsuranceApplication = Starting ReinsuranceApplication on HP-NOTEBOOK with PID 22172 (C:\Users\HP\IdeaProjects\ins-cr-policy-reinsurance-accounting-be\target\classes started by rpsilva in C:\Users\HP\IdeaProjects\ins-cr-policy-reinsurance-accounting-be)
""2020-08-11 14:43:06,727 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 4...
""2020-08-11 14:43:06,728 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 4...
""2020-08-11 14:43:06,817 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 5...
""2020-08-11 14:43:06,817 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 5...
""2020-08-11 14:43:06,817 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 5...
""2020-08-11 14:43:06,881 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 6...
""2020-08-11 14:43:06,882 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 6...
""2020-08-11 14:43:06,883 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 6...
""2020-08-11 14:43:07,015 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 7...
""2020-08-11 14:43:07,016 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 7...
""2020-08-11 14:43:07,016 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 7...
""2020-08-11 14:43:07,096 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 8...
""2020-08-11 14:43:07,096 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 8...
""2020-08-11 14:43:07,096 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 8...
""2020-08-11 14:43:07,165 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 9...
""2020-08-11 14:43:07,165 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 9...
""2020-08-11 14:43:07,165 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 9...
""2020-08-11 14:43:07,246 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 10...
""2020-08-11 14:43:07,246 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 10...
""2020-08-11 14:43:07,247 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 10...
""2020-08-11 14:43:07,306 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 11...
""2020-08-11 14:43:07,306 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 11...
""2020-08-11 14:43:07,306 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 11...
""2020-08-11 14:43:07,384 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 12...
""2020-08-11 14:43:07,384 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 12...
""2020-08-11 14:43:07,385 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 12...
""2020-08-11 14:43:07,557 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = Successfully generated accounting for 12 rows
"
